Duration (in seconds),S_0_1,S_00_1,S_1_1,S_2_1,S_3_1,S_4_1,IC,MC_1,MC_2,MC_3,MC_4,RK1_1,RK2_1,RK3_1,RK4_1,MC Prime_1,MC Prime_1,MC Prime_1,PK1_1,PK1_2,PK1_3,PK1_4,PK1_5,PK1_6,PK1_7,PK1_8,PK1_9,PK1_10,PK1_11,PK1_12,PK1_13,PK1_14,PK1_15,PK2_1,PK2_2,PK2_3,PK2_4,PK2_5,PK2_6,PK2_7,PK2_8,PK2_9,PK2_10,PK2_11,PK2_12,PK2_13,PK2_14,PK2_15,PK1_1,PK1_2,PK1_3,PK1_4,PK1_5,PK1_6,PK1_7,PK1_8,PK1_9,PK1_10,PK1_11,PK1_12,PK1_13,PK1_14,PK1_15,PK2_1,PK2_2,PK2_3,PK2_4,PK2_5,PK2_6,PK2_7,PK2_8,PK2_9,PK2_10,PK2_11,PK2_12,PK2_13,PK2_14,PK2_15,PK_Total,A1_1,A2,IC1_1,IC2,IC3_1,IC4_1,Confidence_1,Risk_1,S_5_1,D1,D2,D2_3_TEXT,D3,D4,D4_2_TEXT,D5,D6,SC0,Random ID,group
490,25,NA,20,15,25,35,2,1,2,1,2,65,20,75,20,40,20,25,4,5,4,4,2,4,3,4,4,2,4,3,5,2,4,3,3,5,3,4,4,3,3,4,3,2,4,3,4,2,4.75,6,4.75,4.75,2.25,4.75,3.5,4.75,4.75,2.25,4.75,3.5,6,2.25,4.75,3.5,3.5,6,3.5,4.75,4.75,3.5,3.5,4.75,3.5,2.25,4.75,3.5,4.75,2.25,122.5,2,2,2,2,3,2,30,2,35,21,1,,1,1,,1,3,121,70342,C
632,20,NA,15,15,15,20,2,1,2,1,2,80,10,85,5,70,45,5,2,5,5,5,5,4,3,5,4,2,2,4,3,4,5,4,2,4,3,2,4,4,5,4,3,2,4,5,5,4,2.25,6,6,6,6,4.75,3.5,6,4.75,2.25,2.25,4.75,3.5,4.75,6,4.75,2.25,4.75,3.5,2.25,4.75,4.75,6,4.75,3.5,2.25,4.75,6,6,4.75,143.75,1,1,1,1,3,2,40,3,15,29,4,,2,1,,1,1,131,58053,C
1171,50,NA,50,50,50,50,3,1,2,2,2,70,20,30,0,50,50,65,2,2,5,5,5,4,3,4,4,2,1,1,3,4,4,2,3,4,3,5,3,5,4,3,1,1,5,3,3,4,2.25,2.25,6,6,6,4.75,3.5,4.75,4.75,2.25,1,1,3.5,4.75,4.75,2.25,3.5,4.75,3.5,6,3.5,6,4.75,3.5,1,1,6,3.5,3.5,4.75,137.5,3,2,3,2,2,2,40,4,50,22,1,,1,1,,1,3,118,60170,C
360,50,NA,45,40,45,50,2,1,2,1,2,65,30,65,25,70,25,20,2,2,2,3,3,3,3,2,1,3,2,1,3,2,3,2,2,2,3,3,4,3,3,3,2,2,3,3,3,3,2.25,2.25,2.25,3.5,3.5,3.5,3.5,2.25,1,3.5,2.25,1,3.5,2.25,3.5,2.25,2.25,2.25,3.5,3.5,4.75,3.5,3.5,3.5,2.25,2.25,3.5,3.5,3.5,3.5,102.5,1,2,1,2,1,1,0,4,50,34,1,,1,1,,6,3,90,71700,C
867,50,NA,40,35,35,35,2,1,2,1,2,60,80,40,80,,45,,2,4,4,5,4,3,3,5,4,3,2,4,3,4,5,2,2,4,3,4,4,4,4,4,3,2,4,3,4,4,2.25,4.75,4.75,6,4.75,3.5,3.5,6,4.75,3.5,2.25,4.75,3.5,4.75,6,2.25,2.25,4.75,3.5,4.75,4.75,4.75,4.75,4.75,3.5,2.25,4.75,3.5,4.75,4.75,137.5,3,2,3,1,4,2,35,2,35,21,2,,1,1,,1,3,127,15593,C
351,75,NA,50,25,70,90,3,1,2,1,2,70,40,60,45,60,55,65,2,4,5,4,3,4,4,2,4,2,2,4,2,4,4,2,2,3,2,4,4,4,4,4,3,4,3,4,4,3,2.25,4.75,6,4.75,3.5,4.75,4.75,2.25,4.75,2.25,2.25,4.75,2.25,4.75,4.75,2.25,2.25,3.5,2.25,4.75,4.75,4.75,4.75,4.75,3.5,4.75,3.5,4.75,4.75,3.5,130,3,2,3,1,4,2,40,2,60,22,2,,1,1,,1,3,121,22534,C
592,50,NA,25,45,75,75,3,1,2,1,2,90,45,90,45,80,65,30,4,4,5,3,2,4,4,4,4,2,3,4,3,2,3,3,3,4,2,4,4,4,3,3,1,3,4,4,3,3,4.75,4.75,6,3.5,2.25,4.75,4.75,4.75,4.75,2.25,3.5,4.75,3.5,2.25,3.5,3.5,3.5,4.75,2.25,4.75,4.75,4.75,3.5,3.5,1,3.5,4.75,4.75,3.5,3.5,123.75,2,1,3,1,4,1,45,2,65,22,1,,1,1,,1,3,117,19681,C
518,60,NA,25,5,100,100,1,1,2,1,2,100,20,100,20,50,60,55,5,5,3,3,4,4,2,4,1,5,1,3,2,5,3,5,2,3,5,5,4,2,3,2,5,5,1,3,3,3,6,6,3.5,3.5,4.75,4.75,2.25,4.75,1,6,1,3.5,2.25,6,3.5,6,2.25,3.5,6,6,4.75,2.25,3.5,2.25,6,6,1,3.5,3.5,3.5,96.25,2,2,2,2,3,2,70,4,75,21,2,,1,1,,1,3,121,29620,C
403,80,NA,40,30,50,60,3,2,2,1,2,70,25,85,25,45,80,35,3,4,3,3,2,4,3,4,4,3,3,4,4,3,3,3,3,4,4,4,4,5,3,2,5,5,5,3,3,3,3.5,4.75,3.5,3.5,2.25,4.75,3.5,4.75,4.75,3.5,3.5,4.75,4.75,3.5,3.5,3.5,3.5,4.75,4.75,4.75,4.75,6,3.5,2.25,6,6,6,3.5,3.5,3.5,112.5,2,2,1,2,3,1,15,2,20,21,1,,1,1,,1,3,121,52860,C
619,50,NA,40,30,35,40,2,1,2,1,2,25,60,70,80,65,55,10,4,4,5,5,5,4,3,5,4,3,4,3,4,4,5,4,4,5,3,4,4,4,5,5,3,2,4,4,1,4,4.75,4.75,6,6,6,4.75,3.5,6,4.75,3.5,4.75,3.5,4.75,4.75,6,4.75,4.75,6,3.5,4.75,4.75,4.75,6,6,3.5,2.25,4.75,4.75,1,4.75,132.5,2,2,2,2,4,2,55,2,35,23,2,,1,1,,1,3,137,14972,C
412,25,NA,20,10,25,25,2,1,2,1,2,35,70,20,90,35,35,15,2,4,5,5,5,4,2,4,3,2,2,4,3,5,5,2,2,4,2,4,4,4,5,3,2,2,4,5,5,5,2.25,4.75,6,6,6,4.75,2.25,4.75,3.5,2.25,2.25,4.75,3.5,6,6,2.25,2.25,4.75,2.25,4.75,4.75,4.75,6,3.5,2.25,2.25,4.75,6,6,6,147.5,3,2,2,1,2,3,65,4,75,26,1,,2,1,,1,2,128,68373,C
634,75,NA,50,50,75,95,3,1,2,1,2,100,50,100,50,100,75,75,3,5,5,4,4,5,4,4,5,2,2,4,4,4,4,4,1,4,3,4,5,5,5,5,2,2,5,5,3,4,3.5,6,6,4.75,4.75,6,4.75,4.75,6,2.25,2.25,4.75,4.75,4.75,4.75,4.75,1,4.75,3.5,4.75,6,6,6,6,2.25,2.25,6,6,3.5,4.75,150,3,2,3,2,4,3,75,4,75,28,2,,1,1,,1,3,140,65564,C
676,50,NA,25,25,65,35,2,1,2,2,2,5,5,25,5,20,30,5,2,4,4,5,5,5,5,5,2,2,3,4,5,5,5,2,2,4,2,1,4,4,4,4,2,3,4,4,4,2,2.25,4.75,4.75,6,6,6,6,6,2.25,2.25,3.5,4.75,6,6,6,2.25,2.25,4.75,2.25,1,4.75,4.75,4.75,4.75,2.25,3.5,4.75,4.75,4.75,2.25,141.25,2,2,2,2,4,1,40,5,30,22,1,,1,1,,1,3,127,91260,C
417,25,NA,20,15,20,20,2,1,2,1,2,25,75,30,80,20,15,15,4,4,4,4,5,4,3,5,5,3,2,4,3,4,4,4,2,2,4,5,4,4,4,2,4,4,4,4,4,4,4.75,4.75,4.75,4.75,6,4.75,3.5,6,6,3.5,2.25,4.75,3.5,4.75,4.75,4.75,2.25,2.25,4.75,6,4.75,4.75,4.75,2.25,4.75,4.75,4.75,4.75,4.75,4.75,126.25,3,2,4,1,5,4,75,2,20,20,2,,1,1,,1,1,136,21686,C
453,50,NA,40,35,40,50,2,1,2,1,2,65,25,75,10,55,40,40,2,4,3,2,4,4,3,3,3,4,2,4,2,4,2,4,1,4,3,2,4,3,2,2,3,2,3,2,2,3,2.25,4.75,3.5,2.25,4.75,4.75,3.5,3.5,3.5,4.75,2.25,4.75,2.25,4.75,2.25,4.75,1,4.75,3.5,2.25,4.75,3.5,2.25,2.25,3.5,2.25,3.5,2.25,2.25,3.5,107.5,3,2,2,2,2,2,40,3,40,22,1,,1,1,,1,3,104,84354,C
500,50,NA,35,20,35,50,3,1,2,1,2,65,80,60,100,50,50,35,2,4,3,3,4,4,2,2,4,3,4,4,2,2,3,3,2,4,3,2,4,3,3,2,2,4,4,2,2,3,2.25,4.75,3.5,3.5,4.75,4.75,2.25,2.25,4.75,3.5,4.75,4.75,2.25,2.25,3.5,3.5,2.25,4.75,3.5,2.25,4.75,3.5,3.5,2.25,2.25,4.75,4.75,2.25,2.25,3.5,106.25,2,2,3,1,5,4,80,4,50,21,1,,2,1,,1,1,112,44516,C
578,95,NA,75,80,100,95,3,1,2,1,2,95,80,100,80,100,85,85,4,4,3,5,4,5,3,5,4,2,2,3,4,4,4,4,2,4,4,4,4,3,4,5,2,4,4,4,5,4,4.75,4.75,3.5,6,4.75,6,3.5,6,4.75,2.25,2.25,3.5,4.75,4.75,4.75,4.75,2.25,4.75,4.75,4.75,4.75,3.5,4.75,6,2.25,4.75,4.75,4.75,6,4.75,133.75,3,1,3,1,4,2,60,3,85,22,1,,1,1,,1,3,134,64756,C
226,100,NA,95,90,100,100,3,1,2,1,2,100,90,100,90,90,90,90,4,4,5,5,4,4,5,5,3,4,3,5,3,2,3,5,2,4,3,5,4,4,4,3,5,5,4,4,5,5,4.75,4.75,6,6,4.75,4.75,6,6,3.5,4.75,3.5,6,3.5,2.25,3.5,6,2.25,4.75,3.5,6,4.75,4.75,4.75,3.5,6,6,4.75,4.75,6,6,126.25,3,1,3,1,2,2,70,3,80,22,1,,1,1,,1,3,140,75325,C
549,50,NA,40,30,35,45,2,1,2,1,2,30,45,75,55,70,45,30,4,4,5,4,5,2,3,4,4,2,2,2,3,4,4,2,4,2,2,5,2,4,4,4,2,2,4,4,4,4,4.75,4.75,6,4.75,6,2.25,3.5,4.75,4.75,2.25,2.25,2.25,3.5,4.75,4.75,2.25,4.75,2.25,2.25,6,2.25,4.75,4.75,4.75,2.25,2.25,4.75,4.75,4.75,4.75,128.75,2,2,2,1,2,2,60,1,45,21,1,,1,1,,1,3,116,32682,C
816,50,NA,40,30,40,50,2,1,2,2,2,85,30,35,30,40,40,20,1,4,4,5,3,4,3,5,2,3,4,5,2,3,5,3,2,2,2,4,5,4,3,2,1,3,4,3,2,3,1,4.75,4.75,6,3.5,4.75,3.5,6,2.25,3.5,4.75,6,2.25,3.5,6,3.5,2.25,2.25,2.25,4.75,6,4.75,3.5,2.25,1,3.5,4.75,3.5,2.25,3.5,125,2,2,2,2,3,2,35,3,45,22,1,,1,1,,1,3,114,73165,C
637,50,NA,45,40,45,50,2,1,2,1,2,15,20,15,20,50,40,40,2,4,4,4,4,4,3,4,4,2,2,4,3,4,4,2,2,4,3,4,4,4,4,4,3,2,4,4,4,4,2.25,4.75,4.75,4.75,4.75,4.75,3.5,4.75,4.75,2.25,2.25,4.75,3.5,4.75,4.75,2.25,2.25,4.75,3.5,4.75,4.75,4.75,4.75,4.75,3.5,2.25,4.75,4.75,4.75,4.75,137.5,2,2,2,1,4,2,60,2,50,22,2,,1,1,,1,3,123,20970,C
482,50,NA,30,40,80,75,2,1,2,1,2,70,95,80,100,35,20,10,1,5,5,5,5,4,5,5,5,1,1,4,5,5,5,1,2,5,2,5,4,5,5,5,2,1,5,5,1,5,1,6,6,6,6,4.75,6,6,6,1,1,4.75,6,6,6,1,2.25,6,2.25,6,4.75,6,6,6,2.25,1,6,6,1,6,167.5,3,1,4,1,5,3,85,2,35,21,2,,1,1,,2,3,138,78056,C
508,35,NA,45,80,65,55,1,1,2,1,2,20,20,85,20,65,55,20,3,5,4,4,3,4,2,3,2,3,2,4,4,2,5,2,2,4,2,3,5,3,3,3,5,2,2,2,4,2,3.5,6,4.75,4.75,3.5,4.75,2.25,3.5,2.25,3.5,2.25,4.75,4.75,2.25,6,2.25,2.25,4.75,2.25,3.5,6,3.5,3.5,3.5,6,2.25,2.25,2.25,4.75,2.25,117.5,2,2,3,2,4,2,55,4,55,21,2,,1,1,,1,3,116,89519,D
831,50,NA,60,65,60,55,2,1,2,1,2,60,80,70,80,75,55,60,1,3,4,5,3,3,4,5,4,1,5,3,3,1,5,4,2,5,3,4,3,5,5,5,1,5,5,5,3,1,1,3.5,4.75,6,3.5,3.5,4.75,6,4.75,1,6,3.5,3.5,1,6,4.75,2.25,6,3.5,4.75,3.5,6,6,6,1,6,6,6,3.5,1,130,3,2,3,1,3,3,50,2,50,21,2,,1,1,,1,3,127,98960,D
642,25,NA,45,50,35,30,2,1,2,1,2,70,20,65,35,20,30,30,2,4,3,4,2,4,3,4,4,2,4,4,4,1,4,2,3,4,2,4,4,3,4,4,2,4,4,3,4,2,2.25,4.75,3.5,4.75,2.25,4.75,3.5,4.75,4.75,2.25,4.75,4.75,4.75,1,4.75,2.25,3.5,4.75,2.25,4.75,4.75,3.5,4.75,4.75,2.25,4.75,4.75,3.5,4.75,2.25,122.5,2,2,2,2,2,2,40,3,40,21,1,,1,1,,1,3,115,28541,D
705,0,NA,5,10,5,5,2,1,2,1,2,25,100,75,75,10,15,25,2,4,4,3,5,4,4,4,3,1,3,4,5,4,3,2,2,5,1,3,4,4,4,5,2,1,4,4,3,4,2.25,4.75,4.75,3.5,6,4.75,4.75,4.75,3.5,1,3.5,4.75,6,4.75,3.5,2.25,2.25,6,1,3.5,4.75,4.75,4.75,6,2.25,1,4.75,4.75,3.5,4.75,143.75,3,1,2,1,2,2,70,4,5,22,1,,1,1,,3,3,120,67913,D
1048,25,NA,65,70,35,40,3,1,2,1,2,85,45,90,15,70,70,40,3,2,4,4,4,5,3,4,4,3,2,4,2,4,4,3,3,4,2,2,4,4,4,4,2,2,4,4,4,4,3.5,2.25,4.75,4.75,4.75,6,3.5,4.75,4.75,3.5,2.25,4.75,2.25,4.75,4.75,3.5,3.5,4.75,2.25,2.25,4.75,4.75,4.75,4.75,2.25,2.25,4.75,4.75,4.75,4.75,130,3,2,3,2,4,3,80,4,65,21,2,,1,2,Finance and Accounting,1,3,127,64344,D
379,50,NA,60,70,30,20,2,1,2,1,2,70,10,70,85,30,30,15,2,5,4,4,4,5,4,4,4,2,2,5,4,4,4,4,1,5,2,4,5,4,4,4,2,1,4,4,4,4,2.25,6,4.75,4.75,4.75,6,4.75,4.75,4.75,2.25,2.25,6,4.75,4.75,4.75,4.75,1,6,2.25,4.75,6,4.75,4.75,4.75,2.25,1,4.75,4.75,4.75,4.75,148.75,3,2,2,1,4,2,75,4,40,21,2,,1,1,,1,1,129,33799,D
518,75,NA,80,80,70,65,2,1,2,2,2,95,70,50,95,85,80,50,3,4,4,3,4,4,3,4,2,3,2,3,2,2,4,4,2,4,4,3,5,4,4,4,4,3,4,4,3,3,3.5,4.75,4.75,3.5,4.75,4.75,3.5,4.75,2.25,3.5,2.25,3.5,2.25,2.25,4.75,4.75,2.25,4.75,4.75,3.5,6,4.75,4.75,4.75,4.75,3.5,4.75,4.75,3.5,3.5,117.5,3,2,2,2,3,2,80,3,80,23,1,,1,1,,1,2,120,57332,D
683,50,NA,55,55,50,45,2,1,2,2,2,60,40,40,40,30,40,20,2,4,4,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,2,4,4,4,2,4,2,2,4,4,3,4,2.25,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,2.25,2.25,4.75,4.75,4.75,4.75,2.25,2.25,4.75,2.25,4.75,4.75,4.75,2.25,4.75,2.25,2.25,4.75,4.75,3.5,4.75,138.75,2,2,2,2,4,2,50,1,40,23,2,,1,1,,1,1,117,74414,D
1105,50,NA,60,70,40,30,2,1,2,1,2,20,50,75,100,50,30,25,1,2,5,4,4,3,5,4,5,1,1,3,4,5,4,1,3,5,1,5,3,5,3,5,2,2,5,5,4,5,1,2.25,6,4.75,4.75,3.5,6,4.75,6,1,1,3.5,4.75,6,4.75,1,3.5,6,1,6,3.5,6,3.5,6,2.25,2.25,6,6,4.75,6,153.75,3,2,3,2,4,3,65,2,40,21,1,,1,1,,1,3,126,45334,D
1092,50,NA,100,95,5,5,3,1,2,1,2,100,5,75,10,60,85,80,2,5,5,5,5,4,3,5,5,1,1,3,3,5,5,2,2,5,3,5,5,5,5,4,1,1,5,5,3,5,2.25,6,6,6,6,4.75,3.5,6,6,1,1,3.5,3.5,6,6,2.25,2.25,6,3.5,6,6,6,6,4.75,1,1,6,6,3.5,6,161.25,2,1,4,1,3,2,45,2,50,22,2,,1,1,,1,3,133,70434,D
637,50,NA,70,75,55,50,2,1,2,1,2,70,30,65,20,50,35,30,2,4,3,4,4,4,3,4,4,2,2,4,4,4,4,4,2,4,3,4,4,4,4,3,2,2,4,4,3,4,2.25,4.75,3.5,4.75,4.75,4.75,3.5,4.75,4.75,2.25,2.25,4.75,4.75,4.75,4.75,4.75,2.25,4.75,3.5,4.75,4.75,4.75,4.75,3.5,2.25,2.25,4.75,4.75,3.5,4.75,133.75,2,2,2,2,4,2,65,4,35,22,1,,1,2,Finance and Accounting,1,3,124,18005,D
122,25,NA,25,10,75,20,3,1,2,2,2,35,35,20,35,55,100,100,4,1,1,4,3,3,3,3,3,3,4,3,4,2,4,4,4,4,4,3,4,3,3,4,4,2,2,3,3,4,4.75,1,1,4.75,3.5,3.5,3.5,3.5,3.5,3.5,4.75,3.5,4.75,2.25,4.75,4.75,4.75,4.75,4.75,3.5,4.75,3.5,3.5,4.75,4.75,2.25,2.25,3.5,3.5,4.75,100,4,2,3,2,1,1,,1,25,21,4,,1,1,,1,3,115,86470,D
412,50,NA,75,85,70,35,2,1,2,1,2,65,15,100,15,30,15,35,1,5,5,4,5,5,4,4,5,2,1,4,4,5,4,3,1,5,2,5,5,4,5,3,2,3,4,4,4,5,1,6,6,4.75,6,6,4.75,4.75,6,2.25,1,4.75,4.75,6,4.75,3.5,1,6,2.25,6,6,4.75,6,3.5,2.25,3.5,4.75,4.75,4.75,6,156.25,3,1,3,1,4,2,85,3,25,22,1,,1,1,,1,3,134,75595,D
1275,50,NA,80,80,70,60,1,1,2,1,2,60,40,75,30,50,50,55,2,5,4,4,4,5,2,4,3,2,3,3,2,2,4,2,2,4,3,4,5,4,4,2,4,2,4,4,4,3,2.25,6,4.75,4.75,4.75,6,2.25,4.75,3.5,2.25,3.5,3.5,2.25,2.25,4.75,2.25,2.25,4.75,3.5,4.75,6,4.75,4.75,2.25,4.75,2.25,4.75,4.75,4.75,3.5,127.5,3,2,2,2,4,3,70,2,60,22,1,,1,1,,1,3,120,50135,D
1209,35,NA,45,30,40,75,1,1,1,2,1,40,60,25,25,35,30,20,3,4,5,3,5,4,4,4,5,2,4,3,4,4,4,4,4,2,3,1,4,4,4,3,2,5,4,4,3,4,3.5,4.75,6,3.5,6,4.75,4.75,4.75,6,2.25,4.75,3.5,4.75,4.75,4.75,4.75,4.75,2.25,3.5,1,4.75,4.75,4.75,3.5,2.25,6,4.75,4.75,3.5,4.75,121.25,4,1,2,2,3,3,50,4,50,22,1,,1,1,,1,3,131,81979,D
579,65,NA,75,80,75,60,3,1,2,1,2,55,65,75,85,50,55,40,2,4,4,4,5,3,2,4,3,3,2,3,2,4,4,2,2,3,4,2,4,4,3,2,4,1,2,3,3,4,2.25,4.75,4.75,4.75,6,3.5,2.25,4.75,3.5,3.5,2.25,3.5,2.25,4.75,4.75,2.25,2.25,3.5,4.75,2.25,4.75,4.75,3.5,2.25,4.75,1,2.25,3.5,3.5,4.75,117.5,3,1,3,1,3,3,65,4,70,21,2,,1,1,,1,3,115,30181,D
543,50,NA,60,65,55,50,3,1,2,1,2,40,15,45,5,,40,,1,4,4,5,4,4,3,4,5,1,2,4,4,4,5,2,2,4,2,4,4,5,5,4,2,2,4,4,5,5,1,4.75,4.75,6,4.75,4.75,3.5,4.75,6,1,2.25,4.75,4.75,4.75,6,2.25,2.25,4.75,2.25,4.75,4.75,6,6,4.75,2.25,2.25,4.75,4.75,6,6,152.5,3,1,4,1,5,4,50,4,55,22,2,,2,1,,2,1,134,12675,D
342,50,NA,55,65,60,45,3,1,2,1,2,50,60,70,80,65,65,55,3,4,5,5,4,4,5,5,4,2,2,4,4,4,5,2,2,4,2,3,4,5,5,5,2,2,5,5,5,4,3.5,4.75,6,6,4.75,4.75,6,6,4.75,2.25,2.25,4.75,4.75,4.75,6,2.25,2.25,4.75,2.25,3.5,4.75,6,6,6,2.25,2.25,6,6,6,4.75,153.75,3,2,2,2,4,3,70,4,60,22,1,,1,1,,1,3,137,63975,D
798,70,NA,75,85,75,60,3,1,2,1,2,35,60,20,80,75,90,55,2,5,4,4,3,4,4,4,4,2,2,4,5,3,4,3,1,5,2,3,4,3,4,3,2,3,5,4,4,3,2.25,6,4.75,4.75,3.5,4.75,4.75,4.75,4.75,2.25,2.25,4.75,6,3.5,4.75,3.5,1,6,2.25,3.5,4.75,3.5,4.75,3.5,2.25,3.5,6,4.75,4.75,3.5,138.75,4,2,3,1,4,3,75,4,60,21,1,,1,2,Finance & Accounting,1,3,128,72595,D
694,50,NA,80,80,30,20,2,1,2,1,2,50,80,70,55,60,55,,3,4,5,5,5,4,3,5,4,2,2,5,4,5,5,4,1,4,3,2,5,5,5,5,3,2,5,4,1,4,3.5,4.75,6,6,6,4.75,3.5,6,4.75,2.25,2.25,6,4.75,6,6,4.75,1,4.75,3.5,2.25,6,6,6,6,3.5,2.25,6,4.75,1,4.75,145,4,2,3,2,2,2,70,5,40,22,1,,1,1,,1,3,136,98896,D
